121	186	110
113	162	150
184	210	118
150	162	49
136	247	135
84	101	82
103	161	148
110	201	121
41	213	150
89	179	158
116	130	101
190	209	158
116	131	130
70	197	107
153	155	154
47	215	14
153	154	51
58	59	57
54	55	44
49	162	155
155	158	154
60	61	59
55	58	57
166	235	214
41	150	29
14	215	54
81	82	79
50	156	149
135	247	102
120	238	96
192	202	133
70	107	72
82	124	79
111	220	188
58	60	59
45	203	196
65	102	63
86	243	84
117	120	96
70	248	128
108	246	84
50	149	36
103	212	161
84	246	101
191	219	146
131	203	132
158	209	89
132	203	169
155	190	158
182	250	96
102	207	63
100	229	199
49	155	153
33	170	52
148	211	103
199	229	191
26	153	51
148	161	42
145	147	120
192	200	67
162	190	155
60	63	61
134	192	133
61	248	70
13	54	44
53	157	16
55	57	56
170	218	52
128	197	70
116	196	131
183	223	38
54	121	55
103	211	118
107	208	143
53	198	157
83	84	82
65	135	102
38	223	37
35	149	48
147	194	175
61	70	62
158	179	159
149	164	48
20	148	42
139	208	142
185	245	187
66	187	68
107	143	72
42	220	174
56	178	44
28	150	49
49	153	27
13	44	12
15	47	14
23	43	22
28	49	27
35	48	34
39	239	151
221	223	127
15	157	47
55	56	44
106	219	191
138	142	137
142	208	107
96	238	182
171	200	134
117	145	120
188	220	161
178	183	11
110	187	66
147	235	120
30	41	29
20	42	19
189	247	137
76	77	69
67	135	65
112	245	185
101	124	82
39	169	168
135	200	171
78	79	77
127	178	56
175	194	176
154	160	51
220	240	174
160	210	43
125	218	170
150	213	113
61	62	59
194	233	176
14	54	13
101	130	124
96	250	88
74	104	92
193	236	23
137	224	138
69	192	67
57	204	126
95	96	88
48	170	34
101	246	116
21	148	20
135	171	136
37	50	36
159	210	160
42	174	19
30	173	41
81	83	82
63	248	61
175	214	147
126	221	127
124	202	79
94	209	190
74	233	104
79	202	77
36	149	35
122	220	111
43	210	184
29	150	28
77	192	69
40	214	175
2	165	40
39	168	5
164	217	48
26	51	25
157	185	47
27	153	26
16	157	15
102	247	189
186	187	110
17	53	16
33	52	32
77	202	192
80	81	79
55	121	58
152	241	136
85	86	84
183	249	11
107	197	142
151	152	39
24	193	23
156	237	149
184	211	21
50	223	221
214	235	147
22	184	21
119	210	179
44	178	12
72	143	74
43	184	22
158	159	154
34	170	33
57	126	56
218	242	52
180	246	108
116	246	180
123	230	229
121	215	186
169	203	168
19	174	18
31	173	30
70	72	71
81	172	83
64	65	63
149	237	164
136	171	152
76	78	77
121	201	58
108	181	180
52	242	173
66	67	65
196	203	131
12	178	11
67	200	135
21	211	148
1	165	2
5	168	6
204	205	126
229	230	129
179	210	159
130	133	124
152	228	169
205	206	156
97	117	96
23	236	43
185	187	186
48	217	195
142	189	137
143	233	74
87	88	86
68	69	67
70	71	62
140	234	208
109	232	181
177	232	109
53	240	198
160	193	51
62	204	59
123	229	100
88	250	86
127	183	178
118	119	98
8	226	17
18	226	8
10	227	31
32	227	10
185	198	112
4	239	39
72	74	73
170	195	125
37	223	50
83	85	84
208	234	143
98	172	81
185	186	47
95	97	96
60	64	63
78	80	79
51	244	25
94	95	88
59	204	57
119	172	98
122	240	220
165	214	40
48	195	170
161	220	42
2	40	3
4	39	5
46	165	1
54	215	121
6	168	45
75	76	69
64	66	65
159	160	154
74	92	91
171	228	152
189	207	102
109	243	86
58	201	60
152	169	39
66	68	67
173	242	41
115	129	125
99	162	113
104	233	194
87	209	94
80	98	81
134	228	171
113	123	100
50	221	156
131	132	130
109	182	177
106	115	114
89	209	87
133	202	124
134	200	192
92	106	105
174	240	53
85	87	86
72	73	71
180	196	116
40	175	163
115	229	129
76	188	78
46	166	165
156	221	205
99	100	97
90	204	62
89	231	179
74	91	73
193	244	51
126	127	56
43	236	160
173	227	52
53	226	174
87	94	88
41	230	213
115	125	114
68	75	69
174	226	18
31	227	173
141	234	140
92	219	106
132	134	133
99	113	100
146	199	191
75	111	76
117	146	145
92	105	91
106	191	115
75	112	111
163	175	141
179	231	172
103	118	98
106	114	105
64	110	66
112	122	111
17	226	53
52	227	32
99	252	162
118	211	184
198	240	122
145	194	147
213	230	123
97	199	117
60	201	64
168	203	45
104	219	92
86	250	109
119	179	172
80	103	98
125	195	114
111	188	76
85	89	87
91	93	73
95	99	97
169	228	132
190	252	94
157	198	185
100	199	97
112	198	122
132	133	130
71	90	62
186	215	47
172	231	83
117	199	146
151	241	152
40	163	3
11	249	7
7	249	38
181	243	109
9	244	24
25	244	9
175	176	141
132	228	134
46	167	166
127	223	183
64	201	110
195	217	114
176	234	141
129	218	125
113	213	123
142	197	189
177	238	167
41	242	230
90	205	204
162	252	190
94	252	95
167	238	235
187	245	68
146	251	145
140	208	139
90	206	205
216	237	93
93	237	206
75	245	112
166	214	165
188	212	78
139	142	138
161	212	188
114	217	105
78	212	80
105	216	91
80	212	103
93	222	73
160	236	193
182	238	177
164	237	216
91	216	93
85	231	89
73	222	71
206	237	156
83	231	85
128	207	189
207	248	63
191	229	115
38	249	183
167	235	166
129	242	218
105	217	216
90	222	206
189	197	128
71	222	90
95	252	99
109	250	182
224	225	144
233	234	176
206	222	93
225	247	136
68	245	75
205	221	126
219	251	146
216	217	164
108	243	181
24	244	193
137	225	224
230	242	129
104	251	219
143	234	233
194	251	104
144	241	151
225	241	144
137	247	225
145	251	194
136	241	225
235	238	120
128	248	207
84	243	108
118	210	119
253	6	45
45	196	259
196	180	258
180	181	257
181	232	257
232	177	256
177	167	256
167	46	255
46	1	254
254	255	46
255	256	167
256	257	232
257	258	180
258	259	196
259	253	45
260	253	259
260	259	258
260	258	257
260	257	256
260	256	255
260	255	254
261	3	163
163	141	267
141	140	266
140	139	266
139	138	265
138	224	264
224	144	264
144	151	263
151	239	263
239	4	262
262	263	239
263	264	144
264	265	138
265	266	139
266	267	141
267	261	163
268	261	267
268	267	266
268	266	265
268	265	264
268	264	263
268	263	262
